LANGUAGE_NAME	CODE	COUNTRY	REGION	SCENARIO_FILEPATH
Surigaonon	sgd	Philippines	Asia	swarm_translate/scenarios/luke-only/bible_sgd_formal.json
Tamasheq	taq	Mali	Africa	swarm_translate/scenarios/luke-only/bible_taq_formal.json
Tibetan, Amdo	adx	China	Asia	swarm_translate/scenarios/luke-only/bible_adx_formal.json
Uzbek, Southern	uzs	Afghanistan	Asia	swarm_translate/scenarios/luke-only/bible_uzs_formal.json
Zhuang, Eastern Hongshuihe	zeh	China	Asia	swarm_translate/scenarios/luke-only/bible_zeh_formal.json
Zhuang, Guibei	zgb	China	Asia	swarm_translate/scenarios/luke-only/bible_zgb_formal.json
Zhuang, Nong	zhn	China	Asia	swarm_translate/scenarios/luke-only/bible_zhn_formal.json
Zhuang, Yongnan	zyn	China	Asia	swarm_translate/scenarios/luke-only/bible_zyn_formal.json
Zhuang, Zuojiang	zzj	China	Asia	swarm_translate/scenarios/luke-only/bible_zzj_formal.json
Bislama	bis	Vanuatu	Pacific	swarm_translate/scenarios/luke-only/bible_bis_formal.json
French (Francophone Africa)	fra	France	Europe	swarm_translate/scenarios/luke-only/bible_fra_formal.json
Portuguese (Brazilian)	por	Portugal	Europe	swarm_translate/scenarios/luke-only/bible_por_formal.json
Spanish (Latin America)	spa	Spain	Europe	swarm_translate/scenarios/luke-only/bible_spa_formal.json
Tok Pisin	tpi	Papua New Guinea	Pacific	swarm_translate/scenarios/luke-only/bible_tpi_formal.json
Chokwe	cjk	Angola	Africa	swarm_translate/scenarios/luke-only/bible_cjk_formal.json
Chol	ctu	Mexico	Americas	swarm_translate/scenarios/luke-only/bible_ctu_formal.json
Chrau	crw	Vietnam	Asia	swarm_translate/scenarios/luke-only/bible_crw_formal.json
Lunda	lun	Democratic Republic of the Congo	Africa	swarm_translate/scenarios/luke-only/bible_lun_formal.json
Luo	luo	Kenya	Africa	swarm_translate/scenarios/luke-only/bible_luo_formal.json 
